PROVINCIA,EDADgrupo,SEXO,month_death,year_death,cases_f
ABANCAY,1,FEMENINO,1,2021,2
ABANCAY,1,FEMENINO,3,2021,2
ABANCAY,1,FEMENINO,4,2021,1
ABANCAY,1,FEMENINO,5,2021,3
ABANCAY,1,FEMENINO,6,2021,1
ABANCAY,1,FEMENINO,8,2020,2
ABANCAY,1,FEMENINO,10,2020,3
ABANCAY,1,FEMENINO,10,2021,1
ABANCAY,1,FEMENINO,11,2020,3
ABANCAY,1,MASCULINO,2,2021,3
ABANCAY,1,MASCULINO,3,2021,1
ABANCAY,1,MASCULINO,4,2021,3
ABANCAY,1,MASCULINO,5,2021,5
ABANCAY,1,MASCULINO,6,2021,2
ABANCAY,1,MASCULINO,7,2021,2
ABANCAY,1,MASCULINO,8,2020,1
ABANCAY,1,MASCULINO,9,2020,2
ABANCAY,1,MASCULINO,10,2020,2
ABANCAY,1,MASCULINO,10,2021,1
ABANCAY,1,MASCULINO,11,2020,2
ABANCAY,2,FEMENINO,1,2021,2
ABANCAY,2,FEMENINO,2,2021,2
ABANCAY,2,FEMENINO,3,2021,5
ABANCAY,2,FEMENINO,4,2021,7
ABANCAY,2,FEMENINO,5,2021,10
ABANCAY,2,FEMENINO,6,2020,1
ABANCAY,2,FEMENINO,6,2021,4
ABANCAY,2,FEMENINO,7,2020,1
ABANCAY,2,FEMENINO,7,2021,3
ABANCAY,2,FEMENINO,8,2020,3
ABANCAY,2,FEMENINO,8,2021,3
ABANCAY,2,FEMENINO,9,2020,3
ABANCAY,2,FEMENINO,9,2021,1
ABANCAY,2,FEMENINO,10,2020,2
ABANCAY,2,FEMENINO,11,2020,3
ABANCAY,2,MASCULINO,1,2021,14
ABANCAY,2,MASCULINO,2,2021,8
ABANCAY,2,MASCULINO,3,2021,8
ABANCAY,2,MASCULINO,4,2021,14
ABANCAY,2,MASCULINO,5,2021,18
ABANCAY,2,MASCULINO,6,2021,5
ABANCAY,2,MASCULINO,7,2020,3
ABANCAY,2,MASCULINO,7,2021,1
ABANCAY,2,MASCULINO,8,2020,9
ABANCAY,2,MASCULINO,8,2021,1
ABANCAY,2,MASCULINO,9,2020,3
ABANCAY,2,MASCULINO,9,2021,1
ABANCAY,2,MASCULINO,10,2020,2
ABANCAY,2,MASCULINO,10,2021,1
ABANCAY,2,MASCULINO,11,2020,1
ABANCAY,2,MASCULINO,12,2020,3
ABANCAY,3,FEMENINO,1,2021,15
ABANCAY,3,FEMENINO,2,2021,10
ABANCAY,3,FEMENINO,3,2021,14
ABANCAY,3,FEMENINO,4,2021,35
ABANCAY,3,FEMENINO,5,2020,1
ABANCAY,3,FEMENINO,5,2021,31
ABANCAY,3,FEMENINO,6,2020,3
ABANCAY,3,FEMENINO,6,2021,9
ABANCAY,3,FEMENINO,7,2020,1
ABANCAY,3,FEMENINO,7,2021,1
ABANCAY,3,FEMENINO,8,2020,17
ABANCAY,3,FEMENINO,8,2021,2
ABANCAY,3,FEMENINO,9,2020,11
ABANCAY,3,FEMENINO,10,2020,7
ABANCAY,3,FEMENINO,10,2021,3
ABANCAY,3,FEMENINO,11,2020,1
ABANCAY,3,FEMENINO,12,2020,3
ABANCAY,3,FEMENINO,12,2021,2
ABANCAY,3,MASCULINO,1,2021,24
ABANCAY,3,MASCULINO,2,2021,16
ABANCAY,3,MASCULINO,3,2021,17
ABANCAY,3,MASCULINO,4,2020,2
ABANCAY,3,MASCULINO,4,2021,40
ABANCAY,3,MASCULINO,5,2020,1
ABANCAY,3,MASCULINO,5,2021,32
ABANCAY,3,MASCULINO,6,2020,3
ABANCAY,3,MASCULINO,6,2021,14
ABANCAY,3,MASCULINO,7,2020,6
ABANCAY,3,MASCULINO,7,2021,4
ABANCAY,3,MASCULINO,8,2020,21
ABANCAY,3,MASCULINO,8,2021,3
ABANCAY,3,MASCULINO,9,2020,15
ABANCAY,3,MASCULINO,9,2021,4
ABANCAY,3,MASCULINO,10,2020,6
ABANCAY,3,MASCULINO,10,2021,2
ABANCAY,3,MASCULINO,11,2020,6
ABANCAY,3,MASCULINO,11,2021,4
ABANCAY,3,MASCULINO,12,2020,7
ABANCAY,3,MASCULINO,12,2021,3
ACOBAMBA,1,FEMENINO,5,2021,1
ACOBAMBA,1,FEMENINO,8,2020,1
ACOBAMBA,1,FEMENINO,9,2020,1
