PROVINCIA,age,year_death,cases_f
ABANCAY,a. <40,2020,15
ABANCAY,a. <40,2021,27
ABANCAY,b. 40-60,2020,34
ABANCAY,b. 40-60,2021,108
ABANCAY,c. >60,2020,111
ABANCAY,c. >60,2021,285
ACOBAMBA,a. <40,2020,3
ACOBAMBA,a. <40,2021,4
ACOBAMBA,b. 40-60,2020,5
ACOBAMBA,b. 40-60,2021,21
ACOBAMBA,c. >60,2020,33
ACOBAMBA,c. >60,2021,57
ACOMAYO,a. <40,2021,2
ACOMAYO,b. 40-60,2020,3
ACOMAYO,b. 40-60,2021,4
ACOMAYO,c. >60,2020,18
ACOMAYO,c. >60,2021,24
AIJA,b. 40-60,2021,3
AIJA,c. >60,2020,2
AIJA,c. >60,2021,17
ALTO AMAZONAS,a. <40,2020,30
ALTO AMAZONAS,a. <40,2021,17
ALTO AMAZONAS,b. 40-60,2020,76
ALTO AMAZONAS,b. 40-60,2021,46
ALTO AMAZONAS,c. >60,2020,150
ALTO AMAZONAS,c. >60,2021,90
AMBO,a. <40,2021,8
AMBO,b. 40-60,2020,10
AMBO,b. 40-60,2021,26
AMBO,c. >60,2020,36
AMBO,c. >60,2021,78
ANDAHUAYLAS,a. <40,2020,6
ANDAHUAYLAS,a. <40,2021,13
ANDAHUAYLAS,b. 40-60,2020,24
ANDAHUAYLAS,b. 40-60,2021,89
ANDAHUAYLAS,c. >60,2020,69
ANDAHUAYLAS,c. >60,2021,273
ANGARAES,a. <40,2020,9
ANGARAES,a. <40,2021,11
ANGARAES,b. 40-60,2020,17
ANGARAES,b. 40-60,2021,22
ANGARAES,c. >60,2020,36
ANGARAES,c. >60,2021,49
ANTA,a. <40,2020,8
ANTA,a. <40,2021,5
ANTA,b. 40-60,2020,17
ANTA,b. 40-60,2021,39
ANTA,c. >60,2020,39
ANTA,c. >60,2021,117
ANTABAMBA,a. <40,2021,4
ANTABAMBA,b. 40-60,2020,2
ANTABAMBA,b. 40-60,2021,4
ANTABAMBA,c. >60,2020,6
ANTABAMBA,c. >60,2021,33
ANTONIO RAIMONDI,a. <40,2020,1
ANTONIO RAIMONDI,a. <40,2021,2
ANTONIO RAIMONDI,b. 40-60,2021,2
ANTONIO RAIMONDI,c. >60,2020,4
ANTONIO RAIMONDI,c. >60,2021,21
AREQUIPA,a. <40,2020,141
AREQUIPA,a. <40,2021,197
AREQUIPA,b. 40-60,2020,854
AREQUIPA,b. 40-60,2021,1231
AREQUIPA,c. >60,2020,2830
AREQUIPA,c. >60,2021,2638
ASCOPE,a. <40,2020,17
ASCOPE,a. <40,2021,14
ASCOPE,b. 40-60,2020,128
ASCOPE,b. 40-60,2021,94
ASCOPE,c. >60,2020,352
ASCOPE,c. >60,2021,251
ASUNCION,b. 40-60,2020,2
ASUNCION,b. 40-60,2021,1
ASUNCION,c. >60,2020,1
ASUNCION,c. >60,2021,15
ATALAYA,a. <40,2020,12
ATALAYA,a. <40,2021,7
ATALAYA,b. 40-60,2020,7
ATALAYA,b. 40-60,2021,24
ATALAYA,c. >60,2020,25
ATALAYA,c. >60,2021,33
AYABACA,a. <40,2020,11
AYABACA,a. <40,2021,15
AYABACA,b. 40-60,2020,22
AYABACA,b. 40-60,2021,43
AYABACA,c. >60,2020,68
AYABACA,c. >60,2021,131
AYMARAES,a. <40,2020,2
AYMARAES,b. 40-60,2020,8
AYMARAES,b. 40-60,2021,14
AYMARAES,c. >60,2020,23
AYMARAES,c. >60,2021,54
