PROVINCIA,cases_f_2020_age_a. <40,cases_f_2020_age_b. 40-60,cases_f_2020_age_c. >60,cases_f_2021_age_a. <40,cases_f_2021_age_b. 40-60,cases_f_2021_age_c. >60
ABANCAY,15.0,34.0,111.0,27.0,108.0,285.0
ACOBAMBA,3.0,5.0,33.0,4.0,21.0,57.0
ACOMAYO,0.0,3.0,18.0,2.0,4.0,24.0
AIJA,0.0,0.0,2.0,0.0,3.0,17.0
ALTO AMAZONAS,30.0,76.0,150.0,17.0,46.0,90.0
AMBO,0.0,10.0,36.0,8.0,26.0,78.0
ANDAHUAYLAS,6.0,24.0,69.0,13.0,89.0,273.0
ANGARAES,9.0,17.0,36.0,11.0,22.0,49.0
ANTA,8.0,17.0,39.0,5.0,39.0,117.0
ANTABAMBA,0.0,2.0,6.0,4.0,4.0,33.0
ANTONIO RAIMONDI,1.0,0.0,4.0,2.0,2.0,21.0
AREQUIPA,141.0,854.0,2830.0,197.0,1231.0,2638.0
ASCOPE,17.0,128.0,352.0,14.0,94.0,251.0
ASUNCION,0.0,2.0,1.0,0.0,1.0,15.0
ATALAYA,12.0,7.0,25.0,7.0,24.0,33.0
AYABACA,11.0,22.0,68.0,15.0,43.0,131.0
AYMARAES,2.0,8.0,23.0,0.0,14.0,54.0
AZANGARO,11.0,22.0,36.0,10.0,59.0,99.0
BAGUA,17.0,66.0,185.0,4.0,51.0,98.0
BARRANCA,19.0,119.0,392.0,42.0,183.0,428.0
BELLAVISTA,8.0,24.0,45.0,4.0,33.0,84.0
BOLIVAR,0.0,2.0,0.0,0.0,3.0,14.0
BOLOGNESI,4.0,3.0,13.0,2.0,10.0,50.0
BONGARA,2.0,8.0,15.0,2.0,11.0,30.0
CAJABAMBA,6.0,9.0,48.0,11.0,30.0,94.0
CAJAMARCA,48.0,166.0,464.0,40.0,240.0,599.0
CAJATAMBO,19.0,12.0,12.0,1.0,4.0,9.0
CALCA,4.0,10.0,18.0,9.0,21.0,52.0
CALLAO,239.0,1326.0,3753.0,321.0,1420.0,3186.0
CAMANA,1.0,27.0,59.0,14.0,101.0,205.0
CANAS,0.0,2.0,10.0,2.0,16.0,56.0
CANCHIS,8.0,20.0,84.0,15.0,80.0,237.0
CANDARAVE,0.0,2.0,3.0,1.0,1.0,5.0
CANGALLO,2.0,1.0,21.0,1.0,10.0,36.0
CANTA,1.0,4.0,28.0,4.0,12.0,23.0
CARABAYA,3.0,12.0,12.0,11.0,30.0,49.0
CARAVELI,2.0,17.0,35.0,12.0,55.0,90.0
CARHUAZ,4.0,12.0,25.0,8.0,17.0,80.0
CARLOS FERMIN FITZCARRALD,1.0,0.0,10.0,0.0,2.0,16.0
CASMA,6.0,27.0,97.0,13.0,60.0,131.0
CASTILLA,0.0,8.0,27.0,5.0,31.0,80.0
CASTROVIRREYNA,0.0,3.0,4.0,0.0,4.0,29.0
CAYLLOMA,5.0,38.0,110.0,23.0,91.0,202.0
CAÑETE,72.0,250.0,638.0,86.0,358.0,636.0
CELENDIN,4.0,7.0,39.0,11.0,26.0,102.0
CHACHAPOYAS,8.0,13.0,40.0,21.0,56.0,114.0
CHANCHAMAYO,21.0,95.0,239.0,31.0,137.0,396.0
CHEPEN,19.0,84.0,262.0,17.0,92.0,229.0
CHICLAYO,173.0,921.0,2442.0,163.0,856.0,2138.0
CHINCHA,77.0,347.0,857.0,98.0,428.0,862.0
CHINCHEROS,3.0,3.0,26.0,7.0,24.0,82.0
CHOTA,4.0,13.0,48.0,12.0,47.0,150.0
