PROVINCIA,EDADgrupo,SEXO,month_test,year_test,cases_p
ABANCAY,1,FEMENINO,1,2021,284
ABANCAY,1,FEMENINO,2,2021,209
ABANCAY,1,FEMENINO,3,2021,220
ABANCAY,1,FEMENINO,4,2020,28
ABANCAY,1,FEMENINO,4,2021,683
ABANCAY,1,FEMENINO,5,2020,16
ABANCAY,1,FEMENINO,5,2021,415
ABANCAY,1,FEMENINO,6,2020,32
ABANCAY,1,FEMENINO,6,2021,210
ABANCAY,1,FEMENINO,7,2020,60
ABANCAY,1,FEMENINO,7,2021,123
ABANCAY,1,FEMENINO,8,2020,318
ABANCAY,1,FEMENINO,8,2021,59
ABANCAY,1,FEMENINO,9,2020,337
ABANCAY,1,FEMENINO,9,2021,54
ABANCAY,1,FEMENINO,10,2020,184
ABANCAY,1,FEMENINO,10,2021,25
ABANCAY,1,FEMENINO,11,2020,108
ABANCAY,1,FEMENINO,11,2021,30
ABANCAY,1,FEMENINO,12,2020,151
ABANCAY,1,FEMENINO,12,2021,20
ABANCAY,1,MASCULINO,1,2021,250
ABANCAY,1,MASCULINO,2,2021,186
ABANCAY,1,MASCULINO,3,2021,238
ABANCAY,1,MASCULINO,4,2020,27
ABANCAY,1,MASCULINO,4,2021,653
ABANCAY,1,MASCULINO,5,2020,21
ABANCAY,1,MASCULINO,5,2021,323
ABANCAY,1,MASCULINO,6,2020,32
ABANCAY,1,MASCULINO,6,2021,205
ABANCAY,1,MASCULINO,7,2020,67
ABANCAY,1,MASCULINO,7,2021,106
ABANCAY,1,MASCULINO,8,2020,308
ABANCAY,1,MASCULINO,8,2021,50
ABANCAY,1,MASCULINO,9,2020,253
ABANCAY,1,MASCULINO,9,2021,53
ABANCAY,1,MASCULINO,10,2020,163
ABANCAY,1,MASCULINO,10,2021,26
ABANCAY,1,MASCULINO,11,2020,87
ABANCAY,1,MASCULINO,11,2021,25
ABANCAY,1,MASCULINO,12,2020,137
ABANCAY,1,MASCULINO,12,2021,11
ABANCAY,2,FEMENINO,1,2021,126
ABANCAY,2,FEMENINO,2,2021,128
ABANCAY,2,FEMENINO,3,2021,114
ABANCAY,2,FEMENINO,4,2020,26
ABANCAY,2,FEMENINO,4,2021,332
ABANCAY,2,FEMENINO,5,2020,12
ABANCAY,2,FEMENINO,5,2021,221
ABANCAY,2,FEMENINO,6,2020,25
ABANCAY,2,FEMENINO,6,2021,109
ABANCAY,2,FEMENINO,7,2020,40
ABANCAY,2,FEMENINO,7,2021,64
ABANCAY,2,FEMENINO,8,2020,175
ABANCAY,2,FEMENINO,8,2021,21
ABANCAY,2,FEMENINO,9,2020,204
ABANCAY,2,FEMENINO,9,2021,17
ABANCAY,2,FEMENINO,10,2020,69
ABANCAY,2,FEMENINO,10,2021,13
ABANCAY,2,FEMENINO,11,2020,33
ABANCAY,2,FEMENINO,11,2021,13
ABANCAY,2,FEMENINO,12,2020,107
ABANCAY,2,FEMENINO,12,2021,5
ABANCAY,2,MASCULINO,1,2021,161
ABANCAY,2,MASCULINO,2,2021,114
ABANCAY,2,MASCULINO,3,2021,111
ABANCAY,2,MASCULINO,4,2020,19
ABANCAY,2,MASCULINO,4,2021,333
ABANCAY,2,MASCULINO,5,2020,12
ABANCAY,2,MASCULINO,5,2021,223
ABANCAY,2,MASCULINO,6,2020,17
ABANCAY,2,MASCULINO,6,2021,128
ABANCAY,2,MASCULINO,7,2020,41
ABANCAY,2,MASCULINO,7,2021,64
ABANCAY,2,MASCULINO,8,2020,185
ABANCAY,2,MASCULINO,8,2021,28
ABANCAY,2,MASCULINO,9,2020,186
ABANCAY,2,MASCULINO,9,2021,12
ABANCAY,2,MASCULINO,10,2020,73
ABANCAY,2,MASCULINO,10,2021,11
ABANCAY,2,MASCULINO,11,2020,51
ABANCAY,2,MASCULINO,11,2021,12
ABANCAY,2,MASCULINO,12,2020,104
ABANCAY,2,MASCULINO,12,2021,4
ABANCAY,3,FEMENINO,1,2021,55
ABANCAY,3,FEMENINO,2,2021,40
ABANCAY,3,FEMENINO,3,2021,68
ABANCAY,3,FEMENINO,4,2020,3
ABANCAY,3,FEMENINO,4,2021,157
ABANCAY,3,FEMENINO,5,2020,7
ABANCAY,3,FEMENINO,5,2021,120
ABANCAY,3,FEMENINO,6,2020,14
ABANCAY,3,FEMENINO,6,2021,50
ABANCAY,3,FEMENINO,7,2020,13
ABANCAY,3,FEMENINO,7,2021,12
ABANCAY,3,FEMENINO,8,2020,63
ABANCAY,3,FEMENINO,8,2021,5
ABANCAY,3,FEMENINO,9,2020,60
ABANCAY,3,FEMENINO,9,2021,5
ABANCAY,3,FEMENINO,10,2020,44
ABANCAY,3,FEMENINO,10,2021,15
ABANCAY,3,FEMENINO,11,2020,30
ABANCAY,3,FEMENINO,11,2021,6
ABANCAY,3,FEMENINO,12,2020,38
ABANCAY,3,FEMENINO,12,2021,4
ABANCAY,3,MASCULINO,1,2021,84
ABANCAY,3,MASCULINO,2,2021,47
ABANCAY,3,MASCULINO,3,2021,62
ABANCAY,3,MASCULINO,4,2020,4
ABANCAY,3,MASCULINO,4,2021,147
ABANCAY,3,MASCULINO,5,2020,4
ABANCAY,3,MASCULINO,5,2021,102
ABANCAY,3,MASCULINO,6,2020,13
ABANCAY,3,MASCULINO,6,2021,40
ABANCAY,3,MASCULINO,7,2020,17
ABANCAY,3,MASCULINO,7,2021,21
ABANCAY,3,MASCULINO,8,2020,71
ABANCAY,3,MASCULINO,8,2021,11
ABANCAY,3,MASCULINO,9,2020,64
ABANCAY,3,MASCULINO,9,2021,4
ABANCAY,3,MASCULINO,10,2020,35
ABANCAY,3,MASCULINO,10,2021,7
ABANCAY,3,MASCULINO,11,2020,18
ABANCAY,3,MASCULINO,11,2021,11
ABANCAY,3,MASCULINO,12,2020,40
ABANCAY,3,MASCULINO,12,2021,3
ACOBAMBA,1,FEMENINO,1,2021,4
ACOBAMBA,1,FEMENINO,2,2021,13
ACOBAMBA,1,FEMENINO,3,2021,40
ACOBAMBA,1,FEMENINO,4,2020,15
ACOBAMBA,1,FEMENINO,4,2021,45
ACOBAMBA,1,FEMENINO,5,2020,28
ACOBAMBA,1,FEMENINO,5,2021,28
ACOBAMBA,1,FEMENINO,6,2020,29
ACOBAMBA,1,FEMENINO,6,2021,12
ACOBAMBA,1,FEMENINO,7,2020,26
ACOBAMBA,1,FEMENINO,7,2021,5
ACOBAMBA,1,FEMENINO,8,2020,73
ACOBAMBA,1,FEMENINO,8,2021,8
ACOBAMBA,1,FEMENINO,9,2020,40
ACOBAMBA,1,FEMENINO,9,2021,2
ACOBAMBA,1,FEMENINO,10,2020,22
ACOBAMBA,1,FEMENINO,10,2021,1
ACOBAMBA,1,FEMENINO,11,2020,7
ACOBAMBA,1,FEMENINO,11,2021,1
ACOBAMBA,1,FEMENINO,12,2020,6
ACOBAMBA,1,FEMENINO,12,2021,10
ACOBAMBA,1,MASCULINO,1,2021,3
ACOBAMBA,1,MASCULINO,2,2021,13
