PROVINCIA,age,year_test,cases_p
ABANCAY,a. <40,2020,2329
ABANCAY,a. <40,2021,4458
ABANCAY,b. 40-60,2020,1379
ABANCAY,b. 40-60,2021,2364
ABANCAY,c. >60,2020,538
ABANCAY,c. >60,2021,1076
ACOBAMBA,a. <40,2020,424
ACOBAMBA,a. <40,2021,319
ACOBAMBA,b. 40-60,2020,172
ACOBAMBA,b. 40-60,2021,198
ACOBAMBA,c. >60,2020,57
ACOBAMBA,c. >60,2021,138
ACOMAYO,a. <40,2020,83
ACOMAYO,a. <40,2021,228
ACOMAYO,b. 40-60,2020,36
ACOMAYO,b. 40-60,2021,173
ACOMAYO,c. >60,2020,22
ACOMAYO,c. >60,2021,94
AIJA,a. <40,2020,45
AIJA,a. <40,2021,109
AIJA,b. 40-60,2020,25
AIJA,b. 40-60,2021,73
AIJA,c. >60,2020,9
AIJA,c. >60,2021,67
ALTO AMAZONAS,a. <40,2020,1423
ALTO AMAZONAS,a. <40,2021,1363
ALTO AMAZONAS,b. 40-60,2020,754
ALTO AMAZONAS,b. 40-60,2021,906
ALTO AMAZONAS,c. >60,2020,260
ALTO AMAZONAS,c. >60,2021,414
AMBO,a. <40,2020,297
AMBO,a. <40,2021,476
AMBO,b. 40-60,2020,225
AMBO,b. 40-60,2021,323
AMBO,c. >60,2020,104
AMBO,c. >60,2021,179
ANDAHUAYLAS,a. <40,2020,1004
ANDAHUAYLAS,a. <40,2021,3144
ANDAHUAYLAS,b. 40-60,2020,590
ANDAHUAYLAS,b. 40-60,2021,2096
ANDAHUAYLAS,c. >60,2020,221
ANDAHUAYLAS,c. >60,2021,908
ANGARAES,a. <40,2020,523
ANGARAES,a. <40,2021,508
ANGARAES,b. 40-60,2020,220
ANGARAES,b. 40-60,2021,245
ANGARAES,c. >60,2020,118
ANGARAES,c. >60,2021,121
ANTA,a. <40,2020,275
ANTA,a. <40,2021,700
ANTA,b. 40-60,2020,201
ANTA,b. 40-60,2021,583
ANTA,c. >60,2020,102
ANTA,c. >60,2021,273
ANTABAMBA,a. <40,2020,66
ANTABAMBA,a. <40,2021,291
ANTABAMBA,b. 40-60,2020,25
ANTABAMBA,b. 40-60,2021,194
ANTABAMBA,c. >60,2020,21
ANTABAMBA,c. >60,2021,128
ANTONIO RAIMONDI,a. <40,2020,33
ANTONIO RAIMONDI,a. <40,2021,50
ANTONIO RAIMONDI,b. 40-60,2020,11
ANTONIO RAIMONDI,b. 40-60,2021,47
ANTONIO RAIMONDI,c. >60,2020,9
ANTONIO RAIMONDI,c. >60,2021,27
AREQUIPA,a. <40,2020,18337
AREQUIPA,a. <40,2021,30494
AREQUIPA,b. 40-60,2020,15710
AREQUIPA,b. 40-60,2021,20294
AREQUIPA,c. >60,2020,7612
AREQUIPA,c. >60,2021,7567
ASCOPE,a. <40,2020,810
ASCOPE,a. <40,2021,497
ASCOPE,b. 40-60,2020,844
ASCOPE,b. 40-60,2021,426
ASCOPE,c. >60,2020,545
ASCOPE,c. >60,2021,286
ASUNCION,a. <40,2020,25
ASUNCION,a. <40,2021,127
ASUNCION,b. 40-60,2020,25
ASUNCION,b. 40-60,2021,113
ASUNCION,c. >60,2020,9
ASUNCION,c. >60,2021,66
ATALAYA,a. <40,2020,276
ATALAYA,a. <40,2021,103
ATALAYA,b. 40-60,2020,139
ATALAYA,b. 40-60,2021,84
ATALAYA,c. >60,2020,62
ATALAYA,c. >60,2021,25
AYABACA,a. <40,2020,536
AYABACA,a. <40,2021,1253
AYABACA,b. 40-60,2020,301
AYABACA,b. 40-60,2021,708
AYABACA,c. >60,2020,202
AYABACA,c. >60,2021,386
AYMARAES,a. <40,2020,131
AYMARAES,a. <40,2021,328
AYMARAES,b. 40-60,2020,107
AYMARAES,b. 40-60,2021,267
AYMARAES,c. >60,2020,61
AYMARAES,c. >60,2021,173
AZANGARO,a. <40,2020,512
AZANGARO,a. <40,2021,542
AZANGARO,b. 40-60,2020,279
AZANGARO,b. 40-60,2021,437
AZANGARO,c. >60,2020,130
AZANGARO,c. >60,2021,206
BAGUA,a. <40,2020,4061
BAGUA,a. <40,2021,1808
BAGUA,b. 40-60,2020,2571
BAGUA,b. 40-60,2021,964
BAGUA,c. >60,2020,1405
BAGUA,c. >60,2021,595
BARRANCA,a. <40,2020,2020
BARRANCA,a. <40,2021,2685
BARRANCA,b. 40-60,2020,1647
BARRANCA,b. 40-60,2021,1859
BARRANCA,c. >60,2020,1144
BARRANCA,c. >60,2021,1078
BELLAVISTA,a. <40,2020,661
