PROVINCIA,cases_p_2020_age_a. <40,cases_p_2020_age_b. 40-60,cases_p_2020_age_c. >60,cases_p_2021_age_a. <40,cases_p_2021_age_b. 40-60,cases_p_2021_age_c. >60
ABANCAY,2329.0,1379.0,538.0,4458.0,2364.0,1076.0
ACOBAMBA,424.0,172.0,57.0,319.0,198.0,138.0
ACOMAYO,83.0,36.0,22.0,228.0,173.0,94.0
AIJA,45.0,25.0,9.0,109.0,73.0,67.0
ALTO AMAZONAS,1423.0,754.0,260.0,1363.0,906.0,414.0
AMBO,297.0,225.0,104.0,476.0,323.0,179.0
ANDAHUAYLAS,1004.0,590.0,221.0,3144.0,2096.0,908.0
ANGARAES,523.0,220.0,118.0,508.0,245.0,121.0
ANTA,275.0,201.0,102.0,700.0,583.0,273.0
ANTABAMBA,66.0,25.0,21.0,291.0,194.0,128.0
ANTONIO RAIMONDI,33.0,11.0,9.0,50.0,47.0,27.0
AREQUIPA,18337.0,15710.0,7612.0,30494.0,20294.0,7567.0
ASCOPE,810.0,844.0,545.0,497.0,426.0,286.0
ASUNCION,25.0,25.0,9.0,127.0,113.0,66.0
ATALAYA,276.0,139.0,62.0,103.0,84.0,25.0
AYABACA,536.0,301.0,202.0,1253.0,708.0,386.0
AYMARAES,131.0,107.0,61.0,328.0,267.0,173.0
AZANGARO,512.0,279.0,130.0,542.0,437.0,206.0
BAGUA,4061.0,2571.0,1405.0,1808.0,964.0,595.0
BARRANCA,2020.0,1647.0,1144.0,2685.0,1859.0,1078.0
BELLAVISTA,661.0,384.0,180.0,366.0,306.0,150.0
BOLIVAR,12.0,5.0,1.0,81.0,65.0,39.0
BOLOGNESI,120.0,69.0,53.0,514.0,346.0,234.0
BONGARA,201.0,123.0,63.0,507.0,300.0,165.0
CAJABAMBA,308.0,193.0,142.0,820.0,505.0,359.0
CAJAMARCA,5209.0,2755.0,1235.0,8839.0,4623.0,1884.0
CAJATAMBO,14.0,14.0,7.0,132.0,100.0,85.0
CALCA,162.0,111.0,55.0,663.0,423.0,187.0
CALLAO,19316.0,14101.0,7854.0,30170.0,18817.0,9731.0
CAMANA,668.0,497.0,222.0,1099.0,845.0,384.0
CANAS,74.0,50.0,12.0,301.0,253.0,128.0
CANCHIS,634.0,445.0,218.0,1734.0,1200.0,661.0
CANDARAVE,57.0,49.0,27.0,42.0,36.0,31.0
CANGALLO,115.0,76.0,36.0,310.0,225.0,169.0
CANTA,177.0,117.0,83.0,314.0,198.0,92.0
CARABAYA,324.0,180.0,29.0,637.0,371.0,130.0
CARAVELI,390.0,270.0,103.0,1051.0,691.0,268.0
CARHUAZ,307.0,151.0,91.0,556.0,359.0,234.0
CARLOS FERMIN FITZCARRALD,32.0,13.0,10.0,43.0,21.0,24.0
CASMA,429.0,302.0,228.0,828.0,610.0,316.0
CASTILLA,269.0,183.0,106.0,895.0,668.0,303.0
CASTROVIRREYNA,125.0,48.0,20.0,138.0,111.0,55.0
CAYLLOMA,846.0,620.0,319.0,1806.0,1300.0,690.0
CAÑETE,3843.0,2346.0,1154.0,1661.0,1002.0,459.0
CELENDIN,229.0,114.0,80.0,636.0,409.0,252.0
CHACHAPOYAS,1250.0,676.0,240.0,2666.0,1363.0,618.0
CHANCHAMAYO,1966.0,1203.0,736.0,3336.0,2389.0,1237.0
CHEPEN,1081.0,819.0,477.0,821.0,536.0,304.0
CHICLAYO,10183.0,8352.0,4639.0,12366.0,8476.0,4370.0
CHINCHA,3093.0,1777.0,964.0,2938.0,1874.0,923.0
CHINCHEROS,196.0,89.0,61.0,769.0,583.0,290.0
CHOTA,523.0,313.0,162.0,1511.0,1003.0,677.0
CHUCUITO,370.0,219.0,95.0,436.0,317.0,231.0
CHUMBIVILCAS,170.0,93.0,50.0,764.0,534.0,281.0
CHUPACA,921.0,543.0,247.0,1275.0,791.0,385.0
CHURCAMPA,214.0,76.0,66.0,347.0,242.0,162.0
CONCEPCION,311.0,284.0,133.0,905.0,496.0,251.0
CONDESUYOS,149.0,93.0,31.0,342.0,248.0,153.0
CONDORCANQUI,2325.0,878.0,262.0,342.0,138.0,71.0
CONTRALMIRANTE VILLAR,237.0,142.0,104.0,351.0,208.0,82.0
CONTUMAZA,79.0,81.0,61.0,456.0,366.0,263.0
CORONEL PORTILLO,8272.0,5186.0,3050.0,4929.0,3230.0,1585.0
CORONGO,16.0,16.0,5.0,63.0,52.0,50.0
COTABAMBAS,379.0,170.0,59.0,1043.0,492.0,219.0
CUSCO,8270.0,6188.0,2293.0,15939.0,9188.0,3421.0
CUTERVO,455.0,279.0,141.0,1190.0,831.0,503.0
DANIEL ALCIDES CARRION,313.0,165.0,54.0,257.0,170.0,120.0
DATEM DEL MARAÑON,1577.0,576.0,181.0,308.0,165.0,55.0
DOS DE MAYO,191.0,117.0,54.0,220.0,183.0,133.0
EL COLLAO,258.0,202.0,93.0,349.0,269.0,214.0
EL DORADO,1076.0,433.0,245.0,249.0,116.0,64.0
ESPINAR,519.0,262.0,76.0,666.0,389.0,166.0
FERREÑAFE,1552.0,1141.0,688.0,361.0,260.0,141.0
GENERAL SANCHEZ CERRO,192.0,142.0,121.0,333.0,269.0,193.0
GRAN CHIMU,260.0,144.0,100.0,333.0,185.0,128.0
GRAU,65.0,43.0,19.0,226.0,118.0,103.0
HUACAYBAMBA,85.0,42.0,30.0,158.0,114.0,61.0
HUALGAYOC,720.0,346.0,121.0,922.0,562.0,339.0
HUALLAGA,537.0,304.0,200.0,327.0,235.0,122.0
HUAMALIES,308.0,174.0,80.0,387.0,237.0,154.0
HUAMANGA,5075.0,3509.0,1405.0,4989.0,3657.0,1750.0
HUANCA SANCOS,26.0,28.0,23.0,111.0,70.0,60.0
HUANCABAMBA,224.0,172.0,97.0,426.0,276.0,180.0
HUANCANE,256.0,199.0,117.0,185.0,172.0,170.0
HUANCAVELICA,2572.0,1304.0,421.0,2355.0,1139.0,515.0
HUANCAYO,6915.0,4583.0,2121.0,17861.0,10750.0,4687.0
HUANTA,1100.0,549.0,294.0,1078.0,738.0,409.0
HUANUCO,5882.0,3660.0,1919.0,4285.0,2734.0,1377.0
HUARAL,3252.0,2326.0,1179.0,4694.0,3055.0,1602.0
HUARAZ,3511.0,2243.0,961.0,6022.0,3210.0,1364.0
HUARI,156.0,79.0,39.0,511.0,270.0,156.0
HUARMEY,754.0,543.0,265.0,949.0,569.0,315.0
HUAROCHIRI,796.0,558.0,198.0,1798.0,1055.0,490.0
HUAURA,3429.0,2545.0,1513.0,6359.0,3719.0,1809.0
HUAYLAS,637.0,330.0,197.0,963.0,606.0,388.0
HUAYTARA,131.0,85.0,43.0,186.0,125.0,66.0
ICA,7809.0,4750.0,2433.0,8305.0,4729.0,2155.0
ILO,2264.0,1629.0,699.0,2815.0,1616.0,708.0
ISLAY,796.0,642.0,337.0,1017.0,730.0,336.0
JAEN,4229.0,2472.0,1340.0,4934.0,2848.0,1345.0
JAUJA,552.0,345.0,179.0,2092.0,1408.0,832.0
JORGE BASADRE,230.0,129.0,47.0,274.0,188.0,51.0
JULCAN,63.0,38.0,30.0,140.0,125.0,98.0
JUNIN,253.0,181.0,111.0,424.0,306.0,176.0
LA CONVENCION,1877.0,1081.0,409.0,4421.0,2651.0,1035.0
LA MAR,559.0,262.0,107.0,824.0,551.0,198.0
LA UNION,39.0,13.0,7.0,200.0,163.0,118.0
LAMAS,1103.0,594.0,328.0,708.0,425.0,255.0
LAMBAYEQUE,3318.0,2298.0,1170.0,2368.0,1603.0,782.0
LAMPA,285.0,202.0,77.0,492.0,324.0,174.0
LAURICOCHA,42.0,13.0,4.0,69.0,52.0,34.0
LEONCIO PRADO,886.0,500.0,264.0,566.0,397.0,221.0
LIMA,183719.0,136674.0,66739.0,256631.0,156533.0,73043.0
LORETO,2056.0,828.0,416.0,504.0,288.0,126.0
LUCANAS,397.0,234.0,139.0,564.0,411.0,280.0
LUYA,303.0,92.0,57.0,605.0,308.0,172.0
MANU,367.0,207.0,42.0,167.0,126.0,59.0
MARAÑON,192.0,72.0,23.0,22.0,23.0,18.0
MARISCAL CACERES,1039.0,506.0,232.0,475.0,255.0,126.0
MARISCAL LUZURIAGA,100.0,46.0,26.0,88.0,68.0,48.0
MARISCAL NIETO,5061.0,4006.0,1650.0,5251.0,2964.0,474.0
MARISCAL RAMON CASTILLA,830.0,344.0,173.0,576.0,322.0,131.0
MAYNAS,7259.0,4238.0,1816.0,6170.0,4583.0,2072.0
MELGAR,406.0,251.0,81.0,731.0,542.0,216.0
MOHO,49.0,34.0,45.0,27.0,29.0,35.0
MORROPON,834.0,559.0,388.0,1297.0,856.0,474.0
MOYOBAMBA,2006.0,933.0,399.0,3047.0,1509.0,847.0
NAZCA,1289.0,847.0,325.0,893.0,579.0,184.0
OCROS,46.0,18.0,18.0,105.0,60.0,57.0
OTUZCO,434.0,268.0,155.0,662.0,479.0,304.0
OXAPAMPA,959.0,495.0,183.0,3386.0,1873.0,728.0
OYON,62.0,31.0,16.0,199.0,116.0,64.0
PACASMAYO,752.0,521.0,320.0,1562.0,1120.0,627.0
PACHITEA,256.0,86.0,38.0,136.0,62.0,38.0
PADRE ABAD,954.0,500.0,204.0,676.0,388.0,170.0
PAITA,2101.0,1371.0,726.0,2249.0,1197.0,533.0
PALLASCA,40.0,25.0,18.0,433.0,218.0,165.0
PALPA,649.0,335.0,153.0,473.0,276.0,147.0
PARINACOCHAS,325.0,235.0,202.0,511.0,350.0,245.0
PARURO,60.0,29.0,19.0,175.0,148.0,90.0
PASCO,2302.0,1388.0,465.0,1818.0,1120.0,430.0
PATAZ,446.0,251.0,67.0,429.0,184.0,90.0
PAUCAR DEL SARA SARA,95.0,60.0,35.0,386.0,250.0,158.0
PAUCARTAMBO,101.0,59.0,15.0,318.0,204.0,98.0
PICOTA,497.0,214.0,125.0,459.0,313.0,163.0
PISCO,3170.0,1885.0,775.0,2686.0,1575.0,644.0
PIURA,10101.0,7050.0,3237.0,14545.0,7668.0,3438.0
POMABAMBA,213.0,89.0,53.0,438.0,263.0,195.0
PUERTO INCA,697.0,361.0,158.0,771.0,428.0,234.0
PUNO,3034.0,2325.0,752.0,4499.0,2775.0,1294.0
PURUS,174.0,136.0,41.0,35.0,34.0,15.0
PUTUMAYO,798.0,278.0,115.0,52.0,29.0,23.0
QUISPICANCHI,357.0,231.0,101.0,1151.0,745.0,309.0
RECUAY,144.0,109.0,71.0,458.0,252.0,134.0
REQUENA,940.0,377.0,216.0,384.0,244.0,162.0
RIOJA,1880.0,794.0,367.0,1685.0,959.0,560.0
RODRIGUEZ DE MENDOZA,62.0,26.0,22.0,609.0,382.0,186.0
SAN ANTONIO DE PUTINA,173.0,88.0,27.0,204.0,142.0,63.0
SAN IGNACIO,1256.0,690.0,386.0,1332.0,921.0,507.0
SAN MARCOS,136.0,75.0,51.0,295.0,197.0,200.0
SAN MARTIN,4216.0,2662.0,1234.0,4179.0,2548.0,1147.0
SAN MIGUEL,151.0,122.0,68.0,347.0,301.0,211.0
SAN PABLO,89.0,49.0,26.0,192.0,110.0,89.0
SAN ROMAN,3597.0,2553.0,936.0,3024.0,2148.0,919.0
SANCHEZ CARRION,946.0,483.0,203.0,1119.0,616.0,316.0
SANDIA,209.0,99.0,49.0,171.0,141.0,69.0
SANTA,7972.0,5985.0,3252.0,12360.0,8749.0,4458.0
SANTA CRUZ,182.0,96.0,66.0,236.0,196.0,145.0
SANTIAGO DE CHUCO,306.0,140.0,86.0,277.0,216.0,142.0
SATIPO,2717.0,1021.0,376.0,4284.0,2305.0,956.0
SECHURA,539.0,373.0,150.0,1099.0,552.0,227.0
SIHUAS,108.0,77.0,65.0,506.0,356.0,252.0
SUCRE,19.0,11.0,6.0,389.0,256.0,112.0
SULLANA,4565.0,3139.0,1623.0,4972.0,3314.0,1603.0
TACNA,6718.0,4923.0,2004.0,8465.0,5729.0,2133.0
TAHUAMANU,614.0,290.0,120.0,377.0,225.0,86.0
TALARA,1657.0,1404.0,699.0,1396.0,763.0,335.0
TAMBOPATA,4541.0,2403.0,914.0,1946.0,1182.0,386.0
TARATA,50.0,55.0,35.0,52.0,49.0,30.0
TARMA,573.0,430.0,235.0,1833.0,1132.0,680.0
TAYACAJA,691.0,325.0,151.0,1017.0,573.0,355.0
TOCACHE,1293.0,588.0,301.0,978.0,609.0,315.0
TRUJILLO,12357.0,8219.0,4648.0,22143.0,13853.0,7078.0
TUMBES,4043.0,2217.0,1097.0,4395.0,2517.0,1085.0
UCAYALI,357.0,256.0,155.0,148.0,91.0,66.0
URUBAMBA,286.0,195.0,72.0,839.0,595.0,287.0
UTCUBAMBA,2243.0,998.0,485.0,1603.0,1006.0,528.0
