name,male,followers
rachelerman,0,7139
mattmcilwain,1,2804
DaveParkerSEA,1,3328
toddbishop,1,24500
ashannstew,0,3382
LeslieFeinzaig,0,15900
akipman,1,29500
matt_oppy,1,4847
gilbert,1,25800
juliesandler,0,7031
BradSmi,1,96300
crashdev,0,8773
ShaunaCausey,0,47400
john_gabbert,1,2482
moniguzman,0,29000
mattmday,1,5750
Rich_Barton,1,31300
daryn,1,2378
lovelletters,0,4553
etzioni,1,27400
MissDestructo,0,41800
heatherredman,0,3957
danshapiro,1,10900
medinism,1,2084
KieranSnyder,0,15400
hadip,1,43300
RajSinghSeattle,1,4991
funcOfJoe,1,9510
kirbywinfield,1,6230
stevesi,1,206666
Ryanintheus,1,194239
sonalpmane,0,1215
SoGulley,0,965
2morrowknight,1,737130
jinman,1,4781
tarah,0,48992
Jenerationy,0,13272
lanctot,1,5519
Kristen_Hammy,0,1196
nhuntwalker,1,5032
eugenio_pace,1,4908
JenMsft,0,0
PeterHamilton,1,7329
sarahstood,0,1118
mcolacurcio,0,2039
marybethlambert,0,1010
